countyFIPS,population,Total_cases
29207,29025,3445
29209,31952,294
29211,6089,1789
29213,55928,840
29215,25398,18
29217,20563,414
29219,35649,1638
29221,24730,584
29223,12873,0
29225,39592,993
29227,2013,155
29229,18289,765
29510,300576,97991
0,0,10
30001,9453,73
30003,13319,871
30005,6681,0
30007,6237,332
30009,10725,399
30011,1252,0
30013,81366,1192
30015,5635,0
30017,11402,23
30019,1690,0
30021,8613,0
30023,9140,259
30025,2846,0
30027,11050,24
30029,103806,2736
30031,114434,11443
30033,1258,0
30035,13753,367
30037,821,181
30039,3379,0
30041,16484,83
30043,12221,201
30045,2007,0
30047,30458,422
30049,69432,1328
30051,2337,77
30053,19980,548
30055,1664,0
30057,8600,629
30059,1862,81
30061,4397,0
30063,119600,2827
30065,4633,77
30067,16606,582
30069,487,0
30071,3954,0
30073,5911,119
30075,1682,0
30077,6890,0
30079,1077,0
30081,43806,593
30083,10803,199
30085,11004,455
30087,8937,14
30089,12113,0
30091,3309,0
30093,34915,905
30095,9642,70
30097,3737,0
30099,6147,0
30101,4736,2014
30103,696,0
30105,7396,0
30107,2126,53
30109,969,0
30111,161300,6242
0,0,239
31001,31363,13584
31003,6298,335
31005,463,0
31007,745,7
31009,465,0
31011,5192,184
31013,10783,98
31015,1919,15
31017,2955,0
31019,49659,8091
31021,6459,339
31023,8016,1651
31025,26248,1639
31027,8402,309
31029,3924,23
31031,5689,73
31033,8910,489
31035,6203,936
31037,10709,24046
31039,8846,1161
31041,10777,1769
31043,20026,70735
31045,8589,38
31047,23595,38884
31049,1794,0
31051,5636,1200
31053,36565,16849
31055,571327,156131
31057,1693,0
31059,5462,249
31061,2979,319
31063,2627,48
31065,4676,333
31067,21513,2658
31069,1837,56
31071,1969,11
31073,1990,698
31075,623,0
31077,2356,113
31079,61353,76533
31081,9324,2867
31083,3380,0
31085,922,0
31087,2762,47
31089,10067,44
31091,682,0
31093,6445,1680
31095,7046,294
31097,5071,290
31099,6495,542
31101,8034,84
31103,806,0
31105,3632,588
31107,8332,471
31109,319090,46992
31111,34914,2589
31113,748,0
31115,664,0
31117,494,0
31119,35099,13600
31121,7755,1491
31123,4642,444
31125,3519,196
31127,6972,166
31129,4148,31
31131,16012,317
31133,2613,0
31135,2891,0
31137,9034,737
31139,7148,168
31141,33470,22416
31143,5213,547
31145,10724,241
31147,7865,34
31149,1357,0
31151,14224,20429
31153,187196,23932
31155,21578,1550
31157,35618,4346
31159,17284,1169
31161,5246,0
31163,3001,143
31165,1166,5
31167,5920,747
31169,5003,18
31171,722,41
31173,7224,1474
31175,4158,161
31177,20729,1972
31179,9385,550
31181,3487,274
31183,783,0
31185,13679,1509
0,0,2208
32001,24909,358
32003,2266715,360833
32005,48905,1733
32007,52778,1368
32009,873,0
32011,2029,0
32013,16831,3976
32015,5532,865
32017,5183,74
32019,57510,3025
32021,4505,204
32023,46523,3179
32027,6725,44
32029,4123,32
32031,471519,80498
32033,9580,200
32510,55916,4460
0,0,1074
33001,61303,3366
33003,48910,2867
33005,76085,3082
33007,31563,234
33009,89886,4704
33011,417025,109966
33013,151391,16645
33015,309769,67237
33017,130633,13433
33019,43146,1056
0,0,106422
34001,263670,99035
34003,932202,1150914
34005,445349,233281
34007,506471,319866
34009,92039,30146
34011,149527,95148
34013,798975,1036951
34015,291636,110913
34017,672391,1083751
34019,124371,51992
34021,367430,346332
34023,825062,898770
34025,618795,480235
34027,491845,391609
34029,607186,504551
34031,501826,925946
34033,62385,27263
34035,328934,262293
34037,140488,66852
34039,556341,928260
34041,105267,66128
0,0,11383
35001,679121,75719
35003,3527,116
35005,64615,2362
35006,26675,6484
35007,11941,317
35009,48954,2405
35011,1748,0
35013,218195,19928
35015,58460,1294
35017,26998,973
35019,4300,938
35021,625,54
35023,4198,53
35025,71070,1177
35027,19572,170
35028,19369,409
35029,23709,504
35031,71367,106444
35033,4521,0
35035,67490,812
35037,8253,236
35039,38921,2095
35041,18500,1426
35043,146748,31667
35045,123958,75799
35047,27277,553
35049,150358,8714
35051,10791,63
35053,16637,2971
35055,32723,1657
35057,15461,1460
35059,4059,183
35061,76688,3896
0,0,4013
1,0,739
36001,305506,98004
36003,46091,2870
36005,1418207,2776903
36007,190488,27456
36009,76117,4385
36011,76576,4437
36013,126903,3834
36015,83456,8312
36017,47207,7681
36019,80485,5529
36021,59461,19264
36023,47581,2321
36025,44135,4802
36027,294218,229645
36029,918702,307121
36031,36885,2098
36033,50022,1303
36035,53383,8864
36037,57280,11243
36039,47188,12064
36041,4416,331
36043,61319,5809
36045,109834,4704
36047,2559903,3451192
36049,26296,959
36051,62914,6194
36053,70941,16124
36055,741770,145226
36057,49221,4687
36059,1356924,2623129
36061,1628706,1690197
36063,209281,47151
36065,228671,47695
36067,460528,98216
36069,109777,9700
36071,384940,635840
36073,40352,9872
36075,117124,5711
36077,59493,4630
36079,98320,72197
36081,2253858,3905545
36083,158714,25309
36085,476143,861186
36087,325789,853687
36089,107740,12165
36091,229863,28334
36093,155299,37844
36095,30999,2873
36097,17807,637
36099,34016,3109
36101,95379,15114
36103,1476601,2484665
36105,75432,72011
36107,48203,6457
36109,102180,10549
36111,177573,95836
36113,63944,13278
36115,61204,11962
36117,89918,6275
36119,967506,2192157
36121,39859,4880
36123,24913,1655
0,0,1214
37001,169509,15799
37003,37497,1272
37005,11137,772
37007,24446,2915
37009,27203,1342
37011,17557,86
37013,46994,1906
37015,18947,5172
37017,32722,4532
37019,142820,5252
37021,261191,12607
37023,90485,16746
37025,216453,26013
37027,82178,6078
37029,10867,132
37031,69473,2285
37033,22604,3036
37035,159551,9216
37037,74470,29779
37039,28612,1309
37041,13943,753
37043,11231,373
37045,97947,4747
37047,55508,14398
37049,102139,7747
37051,335509,29246
37053,27763,597
37055,37009,1076
37057,167609,19334
37059,42846,4089
37061,58741,28715
37063,321488,76460
37065,51472,9535
37067,382295,51134
37069,69685,8550
37071,224529,14753
37073,11562,922
37075,8441,126
37077,60443,16602
37079,21069,3260
37081,537174,55497
37083,50010,7425
37085,135976,14537
37087,62317,1801
37089,117417,17034
37091,23677,4235
37093,55234,9734
37095,4937,61
37097,181806,13174
37099,43938,1499
37101,209339,20716
37103,9419,1224
37105,61779,18646
37107,55949,8918
37109,86111,3544
37111,45756,3181
37113,35858,2542
37115,21755,105
37117,22440,2666
37119,1110356,197531
37121,14964,528
37123,27173,4928
37125,100880,9384
37127,94298,9578
37129,234473,9691
37131,19483,8073
37133,197938,5164
37135,148476,19145
37137,12726,602
37139,39824,4825
37141,63060,3241
37143,13463,1192
37145,39490,2308
37147,180742,14650
37149,20724,1981
37151,143667,27789
37153,44829,6657
37155,130625,29334
37157,91010,3756
37159,142088,33694
37161,67029,9620
37163,63531,17514
37165,34823,3382
37167,62806,3510
37169,45591,2493
37171,71783,7304
37173,14271,621
37175,34385,709
37177,4016,253
37179,239859,23660
37181,44535,12513
37183,1111761,89319
37185,19731,2632
37187,11580,1742
37189,56177,1160
37191,123131,54853
37193,68412,18122
37195,81801,16882
37197,37667,6373
37199,18069,549
0,0,0
38001,2216,0
38003,10415,326
38005,6832,57
38007,928,0
38009,6282,73
38011,3024,70
38013,2115,290
38015,95626,7477
38017,181923,69170
38019,3762,0
38021,4872,22
38023,2264,80
38025,4424,663
38027,2287,169
38029,3241,150
38031,3210,83
38033,1761,0
38035,69451,16831
38037,2274,113
38039,2231,25
38041,2499,0
38043,2480,13
38045,4046,53
38047,1850,0
38049,5745,120
38051,2497,82
38053,15024,987
38055,9450,383
38057,8187,199
38059,31364,3013
38061,10545,2575
38063,2879,57
38065,1959,78
38067,6801,269
38069,3975,214
38071,11519,438
38073,5218,315
38075,2327,80
38077,16177,907
38079,14176,222
38081,3898,160
38083,1315,10
38085,4230,96
38087,750,215
38089,31489,3856
38091,1890,30
38093,20704,1159
38095,2189,0
38097,8036,358
38099,10641,645
38101,67641,2207
38103,3834,176
38105,37589,1221
0,0,26
39001,27698,477
39003,102351,10271
39005,53484,983
39007,97241,14331
39009,65327,703
39011,45656,3328
39013,67006,18154
39015,43432,1336
39017,383134,38078
39019,26914,1742
39021,38885,1372
39023,134083,10659
39025,206428,9654
39027,41968,2492
39029,101883,31377
39031,36600,1874
39033,41494,5237
39035,1235072,219030
39037,51113,8145
39039,38087,1811
39041,209177,16713
39043,74266,7033
39045,157574,13870
39047,28525,1812
39049,1316756,272321
39051,42126,2091
39053,29898,498
39055,93649,14134
39057,168937,4975
39059,38875,1646
39061,817473,126242
39063,75783,2926
39065,31365,2544
39067,15040,442
39069,27006,664
39071,43161,1127
39073,28264,2586
39075,43960,1576
39077,58266,2838
39079,32413,596
39081,65325,3594
39083,62322,1420
39085,230149,15881
39087,59463,1784
39089,176862,12445
39091,45672,1836
39093,309833,37182
39095,428348,113895
39097,44731,6596
39099,228683,75318
39101,65093,145318
39103,179746,16917
39105,22907,251
39107,41172,7621
39109,106987,18151
39111,13654,2547
39113,531687,33077
39115,14508,309
39117,35328,4994
39119,86215,2114
39121,14424,316
39123,40525,4217
39125,18672,674
39127,36134,1019
39129,58457,112091
39131,27772,340
39133,162466,18774
39135,40882,2006
39137,33861,4513
39139,121154,9390
39141,76666,3501
39143,58518,3550
39145,75314,824
39147,55178,1186
39149,48590,2514
39151,370606,35822
39153,541013,65847
39155,197974,29276
39157,91987,14233
39159,58988,2346
39161,28275,332
39163,13085,767
39165,234602,17448
39167,59911,6811
39169,115710,12824
39171,36692,2610
39173,130817,14456
39175,21772,2071
0,0,36
40001,22194,4781
40003,5702,64
40005,13758,146
40007,5311,1078
40009,21859,354
40011,9429,217
40013,47995,1229
40015,28762,7048
40017,148306,7701
40019,48111,1302
40021,48657,2003
40023,14672,1819
40025,2137,56
40027,284014,31307
40029,5495,83
40031,120749,12364
40033,5666,364
40035,14142,849
40037,71522,5987
40039,29003,1126
40041,43009,6191
40043,4891,137
40045,3859,0
40047,61056,1469
40049,27711,1128
40051,55834,4090
40053,4333,140
40055,5712,4361
40057,2653,0
40059,3688,56
40061,12627,291
40063,13279,46
40065,24530,1328
40067,6002,180
40069,11085,189
40071,43538,3801
40073,15765,632
40075,8708,335
40077,10073,356
40079,49853,799
40081,34877,1207
40083,48011,1153
40085,10253,541
40087,40474,5089
40089,32832,2169
40091,19596,464
40093,7629,302
40095,16931,344
40097,41100,1899
40099,14073,182
40101,67997,2695
40103,11131,533
40105,10076,1437
40107,11993,164
40109,797434,69082
40111,38465,1399
40113,46963,5899
40115,31127,2255
40117,16376,2289
40119,81784,3331
40121,43654,2242
40123,38284,897
40125,72592,3548
40127,11096,124
40129,3583,0
40131,92459,4472
40133,24258,1260
40135,41569,968
40137,43143,1956
40139,19983,33640
40141,7250,966
40143,651552,54735
40145,81289,9144
40147,51527,18242
40149,10916,56
40151,8793,186
40153,20211,201
0,0,0
41001,16124,41
41003,93053,3220
41005,418187,18877
41007,40224,1884
41009,52354,1071
41011,64487,1489
41013,24404,200
41015,22925,340
41017,197692,7008
41019,110980,1776
41021,1912,0
41023,7199,88
41025,7393,49
41027,23382,1298
41029,220944,4180
41031,24658,1615
41033,87487,1620
41035,68238,2778
41037,7869,51
41039,382067,4447
41041,49962,2034
41043,129749,7244
41045,30571,1251
41047,347818,50196
41049,11603,658
41051,812855,63005
41053,86085,5237
41055,1780,72
41057,27036,430
41059,77950,5726
41061,26835,514
41063,7208,117
41065,26682,1335
41067,601592,43707
41069,1332,0
41071,107100,3996
0,0,2
42001,103009,12069
42003,1216045,109050
42005,64735,3656
42007,163929,31748
42009,47888,1989
42011,421164,214945
42013,121829,2298
42015,60323,2569
42017,628270,257235
42019,187853,14369
42021,130192,2824
42023,4447,122
42025,64182,13632
42027,162385,8491
42029,524989,132599
42031,38438,1626
42033,79255,1915
42035,38632,2589
42037,64964,20068
42039,84629,1576
42041,253370,30694
42043,278299,60657
42045,566747,329285
42047,29910,310
42049,269728,12122
42051,129274,5902
42053,7247,483
42055,155027,33382
42057,14530,621
42059,36233,1925
42061,45144,9316
42063,84073,5116
42065,43425,509
42067,24763,5808
42069,209674,79265
42071,545724,158816
42073,85512,4947
42075,141793,53430
42077,369318,218651
42079,317417,163545
42081,113299,7625
42083,40625,574
42085,109424,5729
42087,46138,3015
42089,170271,84606
42091,830915,370341
42093,18230,3530
42095,305285,167417
42097,90843,9091
42099,46272,2794
42101,1584064,1003900
42103,55809,28597
42105,16526,393
42107,141359,32123
42109,40372,2535
42111,73447,2077
42113,6066,123
42115,40328,6204
42117,40591,1129
42119,44923,3161
42121,50668,620
42123,39191,168
42125,206865,8640
42127,51361,7346
42129,348899,27894
42131,26794,1791
42133,449058,54079
0,0,100157
44001,48479,11010
44003,164292,51874
44005,82082,12751
44007,638931,533216
44009,125577,26134
0,0,6
45001,24527,2359
45003,170872,9563
45005,8688,1596
45007,202558,14088
45009,14066,1252
45011,20866,2136
45013,192122,23023
45015,227907,14078
45017,14553,802
45019,411406,39951
45021,57300,2066
45023,32244,3560
45025,45650,7814
45027,33745,16431
45029,37677,4487
45031,66618,13161
45033,30479,6911
45035,162809,9074
45037,27260,2541
45039,22347,7399
45041,138293,30314
45043,62680,4268
45045,523542,80112
45047,70811,6293
45049,19222,1969
45051,354081,25154
45053,30073,2037
45055,66551,20827
45057,98012,8605
45059,67493,3633
45061,16828,8935
45063,298750,36166
45065,9463,503
45067,30657,3295
45069,26118,6380
45071,38440,2853
45073,79546,2649
45075,86175,9219
45077,126884,7285
45079,415759,82782
45081,20473,6069
45083,319785,30060
45085,106721,21956
45087,27316,2179
45089,30368,9809
45091,280979,21101
0,0,0
46003,2751,758
46005,18453,8741
46007,3365,1
46009,6901,398
46011,35077,1041
46013,38839,10371
46015,5297,58
46017,1962,600
46019,10429,0
46021,1376,0
46023,9292,725
46025,3736,211
46027,14070,1080
46029,28009,1663
46031,4086,195
46033,8972,16
46035,19775,812
46037,5424,522
46039,4351,80
46041,5892,15
46043,2921,105
46045,3829,52
46047,6713,205
46049,2299,190
46051,7052,395
46053,4185,16
46055,1899,0
46057,6164,241
46059,3191,109
46061,3453,32
46063,1298,0
46065,17526,954
46067,7291,276
46069,1301,79
46071,3344,83
46073,2013,1099
46075,903,0
46077,4939,64
46079,12797,422
46081,25844,745
46083,61128,12167
46085,3781,638
46087,5586,296
46089,2379,112
46091,4935,113
46093,28332,628
46095,2061,3
46097,2216,91
46099,193134,170794
46101,6576,781
46102,14177,898
46103,113775,7542
46105,2865,0
46107,2153,0
46109,10394,1319
46111,2344,441
46115,6376,276
46117,3098,448
46119,1391,16
46121,10177,1042
46123,5441,165
46125,8384,1218
46127,15932,3613
46129,5435,315
46135,22814,2655
46137,2756,53
0,0,25663
47001,76978,2358
47003,49713,14588
47005,16160,458
47007,15064,32570
47009,133088,5224
47011,108110,6810
47013,39842,1160
47015,14678,1193
47017,27767,1559
47019,56391,1008
47021,40667,5541
47023,17297,760
47025,31959,560
47027,7615,421
47029,36004,1169
47031,56520,3539
47033,14230,697
47035,60520,6273
47037,694144,256764
47039,11663,349
47041,20490,1814
47043,53948,6095
47045,37159,3059
47047,41133,6188
47049,18523,516
47051,42208,2855
47053,49133,3468
47055,29464,708
47057,23320,538
47059,69069,3157
47061,13427,2069
47063,64934,1879
47065,367804,33326
47067,6620,28
47069,25050,7731
47071,25652,795
47073,56786,2165
47075,17304,1726
47077,28117,686
47079,32345,1358
47081,25178,2821
47083,8201,426
47085,18582,781
47087,11786,807
47089,54495,1765
47091,17788,735
47093,470313,21976
47095,7016,18839
47097,25633,2498
47099,44142,1703
47101,12268,209
47103,34366,1378
47105,54068,5693
47107,53794,6554
47109,25694,927
47111,24602,6028
47113,97984,9678
47115,28907,2442
47117,34375,1755
47119,96387,4918
47121,12422,1158
47123,46545,2755
47125,208993,13883
47127,6488,205
47129,21403,804
47131,30069,1613
47133,22241,1201
47135,8076,961
47137,5048,100
47139,16832,886
47141,80245,19326
47143,33167,5675
47145,53382,843
47147,71813,20557
47149,332285,57604
47151,22068,811
47153,15026,658
47155,98250,5167
47157,937166,252874
47159,20157,1714
47161,13715,581
47163,158348,3907
47165,191283,52812
47167,61599,19261
47169,11284,64297
47171,17883,874
47173,19972,268
47175,5872,178
47177,41277,1023
47179,129375,4601
47181,16673,2137
47183,33328,1426
47185,27345,1347
47187,238412,34893
47189,144657,22179
0,0,78
48001,57735,3200
48003,18705,1515
48005,86715,8692
48007,23510,231
48009,8553,50
48011,1887,115
48013,51153,1780
48015,30032,1316
48017,7000,594
48019,23112,361
48021,88723,9275
48023,3509,11
48025,32565,633
48027,362924,18939
48029,2003554,142403
48031,11931,506
48033,654,0
48035,18685,319
48037,93245,10050
48039,374264,46564
48041,229211,23807
48043,9203,65
48045,1546,45
48047,7093,57
48049,37864,2788
48051,18443,1285
48053,48155,1909
48055,43664,2678
48057,21290,2283
48059,13943,391
48061,423163,38974
48063,13094,2399
48065,5926,236
48067,30026,1319
48069,7530,1729
48071,43837,3794
48073,52646,1959
48075,7306,121
48077,10471,230
48079,2853,54
48081,3387,55
48083,8175,104
48085,1034730,68811
48087,2920,174
48089,21493,1126
48091,156209,5288
48093,13635,425
48095,2726,67
48097,41257,740
48099,75951,12659
48101,1398,178
48103,4797,716
48105,3464,38
48107,5737,160
48109,2171,0
48111,7287,1060
48113,2635516,459726
48115,12728,2068
48117,18546,6351
48119,5331,82
48121,887207,72068
48123,20160,1169
48125,2211,75
48127,10124,66
48129,3278,1740
48131,11157,236
48133,18360,345
48135,166223,7955
48137,1932,0
48139,184826,15618
48141,839238,117110
48143,42698,1161
48145,17297,411
48147,35514,1789
48149,25346,1757
48151,3830,60
48153,5712,431
48155,1155,0
48157,811688,97722
48159,10725,553
48161,19717,462
48163,20306,1717
48165,21492,336
48167,342139,48687
48169,6229,209
48171,26988,240
48173,1409,50
48175,7658,453
48177,20837,4572
48179,21886,4716
48181,136212,11607
48183,123945,9826
48185,28880,6088
48187,166847,7155
48189,33406,2718
48191,2964,50
48193,8461,430
48195,5399,797
48197,3933,56
48199,57602,7737
48201,4713325,615065
48203,66553,11062
48205,5576,494
48207,5658,82
48209,230191,17180
48211,3819,73
48213,82737,2802
48215,868707,31212
48217,36649,1383
48219,23021,1602
48221,61643,1555
48223,37084,991
48225,22968,3185
48227,36664,420
48229,4886,110
48231,98594,4627
48233,20938,1599
48235,1536,14
48237,8935,249
48239,14760,896
48241,35529,1362
48243,2274,0
48245,251565,30418
48247,5200,183
48249,40482,492
48251,175817,8039
48253,20083,13323
48255,15601,252
48257,136154,9941
48259,47431,1569
48261,404,0
48263,762,0
48265,52600,729
48267,4337,39
48269,272,0
48271,3667,17
48273,30680,806
48275,3664,70
48277,49859,5967
48279,12893,615
48281,21428,414
48283,7520,166
48285,20154,648
48287,17239,725
48289,17404,539
48291,88219,4477
48293,23437,1300
48295,3233,147
48297,12207,448
48299,21795,240
48301,169,0
48303,310569,40939
48305,5951,464
48307,7984,201
48309,256623,7528
48311,743,0
48313,14284,378
48315,9854,826
48317,5771,195
48319,4274,1444
48321,36643,4546
48323,58722,4347
48325,51584,4400
48327,2138,0
48329,176832,7288
48331,24823,1516
48333,4873,28
48335,8545,75
48337,19818,518
48339,607391,51110
48341,20940,31148
48343,12388,936
48345,1200,64
48347,65204,13737
48349,50113,2775
48351,13595,251
48353,14714,114
48355,362294,13063
48357,9836,1953
48359,2112,250
48361,83396,5502
48363,29189,638
48365,23194,8939
48367,142878,3648
48369,9605,2405
48371,15823,2476
48373,51353,2603
48375,117415,94965
48377,6704,32
48379,12514,171
48381,137713,28942
48383,3849,38
48385,3452,11
48387,12023,2132
48389,15976,235
48391,6948,126
48393,854,120
48395,17074,479
48397,104915,7676
48399,10264,94
48401,54406,2946
48403,10542,358
48405,8237,1796
48407,28859,810
48409,66730,1529
48411,6055,31
48413,2793,3
48415,16703,544
48417,3265,40
48419,25274,9824
48421,3022,1199
48423,232751,12394
48425,9128,12
48427,64633,1733
48429,9366,146
48431,1291,0
48433,1350,0
48435,3776,0
48437,7397,836
48439,2102515,252575
48441,138034,13585
48443,776,0
48445,12337,836
48447,1501,0
48449,32750,13125
48451,119200,4120
48453,1273954,161819
48455,14651,792
48457,21672,594
48459,41753,1301
48461,3657,1
48463,26741,659
48465,49025,1042
48467,56590,1585
48469,92084,9792
48471,72971,43737
48473,55246,3006
48475,11998,39
48477,35882,10297
48479,276652,30197
48481,41556,3389
48483,5056,676
48485,132230,5523
48487,12769,246
48489,21358,1241
48491,590551,29325
48493,51070,2295
48495,8010,193
48497,69984,2129
48499,45539,1399
48501,8713,163
48503,18010,364
48505,14179,534
48507,11840,411
0,0,232
49001,6710,1
49003,56046,1988
49005,128289,13523
49007,20463,538
49009,950,0
49011,355481,26643
49013,19938,492
49015,10012,376
49017,5051,193
49019,9754,373
49021,54839,3539
49023,12017,526
49025,7886,225
49027,13188,369
49029,12124,731
49031,1479,62
49033,2483,4
49035,1160437,256533
49037,15308,11557
49039,30939,507
49041,21620,520
49043,42145,29179
49045,72259,6266
49047,35734,584
49049,636235,93291
49051,34091,14728
49053,177556,14547
49055,2711,0
49057,260213,15530
0,0,573
50001,36777,4595
50003,35470,3913
50005,29993,978
50007,163774,32603
50009,6163,152
50011,49402,6695
50013,7235,329
50015,25362,1982
50017,28892,587
50019,27037,744
50021,58191,3553
50023,58409,2673
50025,42222,5263
50027,55062,3340
0,0,0
51001,32316,35700
51003,109330,9617
51005,14860,798
51007,13145,1412
51009,31605,1329
51011,15911,1474
51013,236842,97487
51015,75558,4943
51017,4147,0
51019,78997,2896
51021,6280,0
51023,33419,2199
51025,16231,1398
51027,21004,1023
51029,17148,18402
51031,54885,970
51033,30725,3035
51035,29791,3694
51036,6963,1383
51037,11880,1020
51041,352802,67026
51043,14619,1192
51045,5131,265
51047,52605,25349
51049,9932,1536
51051,14318,0
51053,28544,2899
51057,10953,1758
51059,1147532,462685
51061,71222,13430
51063,15749,255
51065,27270,5288
51067,56042,1957
51069,89313,14640
51071,16720,310
51073,37348,1956
51075,23753,5615
51077,15550,1373
51079,19819,1378
51081,11336,5812
51083,33911,1528
51085,107766,13785
51087,330818,85296
51089,50557,4232
51091,2190,106
51093,37109,7438
51095,76523,13573
51097,7025,562
51099,26836,3155
51101,17148,1048
51103,10603,416
51105,23423,603
51107,413538,105050
51109,37591,4126
51111,12196,555
51113,13261,1667
51115,8834,318
51117,30587,9924
51119,10582,628
51121,98535,4358
51125,14930,787
51127,23091,1945
51131,11710,9790
51133,12095,1038
51135,15232,1484
51137,37051,4181
51139,23902,9238
51141,17608,674
51143,60354,1718
51145,29652,1590
51147,22802,5469
51149,38353,4792
51153,470335,224774
51155,34027,905
51157,7370,581
51159,9023,12287
51161,94186,4956
51163,22573,763
51165,81948,23552
51167,26586,380
51169,21566,418
51171,43616,17525
51173,30104,960
51175,17631,7495
51177,136215,22291
51179,152882,30281
51181,6422,446
51183,11159,5428
51185,40595,447
51187,40164,6936
51191,53740,2971
51193,18015,2829
51195,37383,1485
51197,28684,1233
51199,68280,4250
51510,159428,85112
51520,16762,188
51530,6478,588
51540,47266,5571
51550,244835,25002
51570,17370,4441
51580,5538,153
51590,40044,2948
51595,5346,3289
51600,24019,2736
51610,14617,2427
51620,7967,1871
51630,29036,6068
51640,6347,4443
51650,134510,10461
51660,53016,37516
51670,22529,3840
51678,7446,369
51680,82168,4541
51683,41085,39380
51685,17478,11590
51690,12554,1090
51700,179225,13434
51710,242742,22999
51720,3981,117
51730,31346,5156
51735,12271,519
51740,94398,14417
51750,18249,276
51760,230436,53652
51770,99143,7470
51775,25301,1720
51790,24932,1766
51800,92108,15001
51810,449974,37072
51820,22630,1777
51830,14954,2429
51840,28078,7203
0,0,19960
53001,19983,3934
53003,22582,1131
53005,204390,42904
53007,77200,11383
53009,77331,1501
53011,488241,28102
53013,3985,95
53015,110593,4295
53017,43429,7671
53019,7627,83
53021,95222,29918
53023,2225,0
53025,97733,13199
53027,75061,1030
53029,85141,13417
53031,32221,2310
53033,2252782,514659
53035,271473,11684
53037,47935,3314
53039,22425,1685
53041,80707,2235
53043,10939,159
53045,66768,2113
53047,42243,2291
53049,22471,443
53051,13724,157
53053,904980,112804
53055,17582,1033
53057,129205,26919
53059,12083,218
53061,822083,200265
53063,522798,33248
53065,45723,733
53067,290536,9129
53069,4488,220
53071,60760,5784
53073,229247,25409
53075,50104,1196
53077,250873,159105
0,0,0
54001,16441,446
54003,119171,15092
54005,21457,496
54007,13957,125
54009,21939,242
54011,91945,3454
54013,7109,60
54015,8508,155
54017,8448,0
54019,42406,2010
54021,7823,387
54023,11568,412
54025,34662,515
54027,23175,1049
54029,28810,930
54031,13776,1440
54033,67256,2576
54035,28576,8173
54037,57146,8150
54039,178124,12807
54041,15907,326
54043,20409,228
54045,32019,1005
54047,17624,407
54049,56072,3308
54051,30531,1457
54053,26516,927
54055,58758,810
54057,26868,1852
54059,23424,275
54061,105612,8236
54063,13275,386
54065,17884,974
54067,24496,409
54069,41411,2551
54071,6969,430
54073,7460,186
54075,8247,580
54077,33432,1121
54079,56450,1926
54081,73361,851
54083,28695,2955
54085,9554,49
54087,13688,464
54089,12573,67
54091,16695,493
54093,6839,328
54095,8591,205
54097,24176,379
54099,39402,5875
54101,8114,0
54103,15065,409
54105,5821,229
54107,83518,2959
54109,20394,118
0,0,1
55001,20220,294
55003,15562,153
55005,45244,810
55007,15036,246
55009,264542,105807
55011,13031,346
55013,15414,37
55015,50089,2940
55017,64658,2670
55019,34774,1815
55021,57532,2627
55023,16131,1050
55025,546695,41128
55027,87839,9583
55029,27668,1682
55031,43150,987
55033,45368,1225
55035,104646,4744
55037,4295,143
55039,103403,9558
55041,9004,760
55043,51439,4188
55045,36960,2619
55047,18913,682
55049,23678,754
55051,5687,147
55053,20643,983
55055,84769,4876
55057,26687,1254
55059,169561,51020
55061,20434,1593
55063,118016,3316
55065,16665,1062
55067,19189,84
55069,27593,194
55071,78981,1481
55073,135692,2406
55075,40350,1372
55077,15574,271
55078,4556,141
55079,945726,347309
55081,46253,1103
55083,37930,1627
55085,35595,573
55087,187885,9581
55089,89221,8911
55091,7287,33
55093,42754,1770
55095,43783,828
55097,70772,993
55099,13351,92
55101,196311,64125
55103,17252,835
55105,163354,26409
55107,14178,317
55109,90687,3302
55111,64442,4478
55113,16558,329
55115,40899,1927
55117,115340,5141
55119,20343,48
55121,29649,1002
55123,30822,633
55125,22195,396
55127,103868,17477
55129,15720,99
55131,136034,11459
55133,404198,34817
55135,50990,1563
55137,24443,394
55139,171907,11162
55141,72999,463
0,0,0
56001,38880,931
56003,11790,235
56005,46341,1566
56007,14800,717
56009,13822,1148
56011,7584,328
56013,39261,12470
56015,13211,293
56017,4413,355
56019,8445,1020
56021,99500,9356
56023,19830,697
56025,79858,3928
56027,2356,96
56029,29194,128
56031,8393,26
56033,30485,1124
56035,9831,136
56037,42343,1330
56039,23464,5758
56041,20226,965
56043,7805,1189
56045,6927,20
