countyFIPS,population,Total_cases
12073,293582,20216
12075,41503,2099
12077,8354,8547
12079,18493,3745
12081,403253,54378
12083,365579,14237
12085,161000,29198
12086,2716940,1019293
12087,74228,6717
12089,88625,4478
12091,210738,13216
12093,42168,3474
12095,1393452,121342
12097,375751,41377
12099,1496770,308395
12101,553947,22109
12103,974996,73205
12105,724777,50482
12107,74521,8291
12109,264672,17026
12111,328297,25508
12113,184313,13354
12115,433742,33590
12117,471826,31168
12119,132420,15560
12121,44417,9714
12123,21569,891
12125,15237,1176
12127,553284,39884
12129,33739,1837
12131,74071,5456
12133,25473,2105
0,0,134773
13001,18386,6993
13003,8165,1813
13005,11164,4593
13007,3038,1937
13009,44890,17860
13011,19234,3374
13013,83240,15237
13015,107738,28289
13017,16700,3270
13019,19397,1969
13021,153159,24304
13023,12873,1900
13025,19109,2469
13027,15457,3994
13029,39627,4176
13031,79608,3398
13033,22383,6462
13035,24936,11406
13037,6189,7435
13039,54666,3142
13043,10803,683
13045,119992,30002
13047,67580,5796
13049,13392,1384
13051,289430,24553
13053,10907,3798
13055,24789,1257
13057,258773,44440
13059,128331,14528
13061,2834,2120
13063,292256,65002
13065,6618,2342
13067,760141,155155
13069,43273,12977
13071,45600,20695
13073,156714,13286
13075,17270,2272
13077,148509,20608
13079,12404,1367
13081,22372,12625
13083,16116,1490
13085,26108,5505
13087,26404,8459
13089,759297,187965
13091,20605,2510
13093,13390,9472
13095,87956,116338
13097,146343,28783
13099,10190,15176
13101,4006,3420
13103,64296,3459
13105,19194,3076
13107,22646,1599
13109,10654,290
13111,26188,2461
13113,114421,14039
13115,98498,14585
13117,244252,26518
13119,23349,3200
13121,1063937,246787
13123,31369,6398
13125,2971,40
13127,85292,6208
13129,57963,8873
13131,24633,5350
13133,18324,4090
13135,936250,184088
13137,45328,24173
13139,204441,122689
13141,8457,7743
13143,29792,2463
13145,35236,5529
13147,26205,1379
13149,11923,1387
13151,234561,40313
13153,157863,20130
13155,9416,1569
13157,72977,9029
13159,14219,1961
13161,15115,1695
13163,15362,1742
13165,8676,1345
13167,9643,4040
13169,28735,2176
13171,19077,3250
13173,10423,1278
13175,47546,5551
13177,29992,23745
13179,61435,3686
13181,7921,938
13183,19559,595
13185,117406,16583
13187,33610,4676
13189,21312,3644
13191,14378,634
13193,12947,5533
13195,29880,2464
13197,8359,2839
13199,21167,4817
13201,5718,2303
13205,21863,23445
13207,27578,4639
13209,9172,463
13211,19276,2104
13213,40096,4097
13215,195769,31777
13217,111744,17824
13219,40280,5819
13221,15259,3455
13223,168667,16799
13225,27546,4119
13227,32591,2464
13229,19465,5348
13231,18962,3062
13233,42613,5783
13235,11137,2218
13237,22119,4161
13239,2299,542
13241,17137,1083
13243,6778,11349
13245,202518,31310
13247,90896,16003
13249,5257,1111
13251,13966,1902
13253,8090,2471
13255,66703,15244
13257,25925,6519
13259,6621,2344
13261,29524,28181
13263,6195,1970
13265,1537,49
13267,25286,1098
13269,8020,1275
13271,15860,1959
13273,8531,13293
13275,44451,16783
13277,40644,12914
13279,26830,3055
13281,12037,1392
13283,6901,464
13285,69922,17020
13287,7985,6093
13289,8120,747
13291,24511,2281
13293,26320,15949
13295,69761,6155
13297,94593,11753
13299,35734,11404
13301,5254,1021
13303,20374,3737
13305,29927,1078
13307,2607,689
13309,7855,563
13311,30798,5160
13313,104628,15166
13315,8635,5791
13317,9777,1796
13319,8954,3096
13321,20247,12624
0,0,806
15001,201513,5080
15003,974563,30934
15005,86,0
15007,72293,1557
15009,167417,8116
0,0,30
16001,481587,53331
16003,4294,197
16005,87808,1452
16007,6125,0
16009,9298,287
16011,46811,540
16013,23021,37920
16015,7831,0
16017,45739,331
16019,119062,2500
16021,12245,0
16023,2597,0
16025,1106,77
16027,229849,19091
16029,7155,105
16031,24030,2750
16033,845,0
16035,8756,0
16037,4315,159
16039,27511,2046
16041,13876,156
16043,13099,209
16045,18112,1037
16047,15179,1846
16049,16667,228
16051,29871,476
16053,24412,7130
16055,165697,4903
16057,40108,381
16059,8027,53
16061,3838,0
16063,5366,1919
16065,39907,1174
16067,21039,2065
16069,40408,4658
16071,4531,0
16073,11823,508
16075,23951,1297
16077,7681,249
16079,12882,0
16081,12142,722
16083,86878,19474
16085,11392,172
16087,10194,1331
0,0,13657
17001,65435,2677
17003,5761,462
17005,16426,590
17007,53544,17207
17009,6578,396
17011,32628,932
17013,4739,72
17015,14305,815
17017,12147,3154
17019,209689,25083
17021,32304,2225
17023,15441,537
17025,13184,118
17027,37562,8981
17029,50621,4547
17031,5150233,3691663
17033,18667,654
17035,10766,441
17037,104897,15769
17039,15638,208
17041,19465,1520
17043,922921,345201
17045,17161,19
17047,6395,68
17049,34008,393
17051,21336,1203
17053,12961,942
17055,38469,655
17057,34340,425
17059,4828,135
17061,12969,257
17063,51054,4577
17065,8116,115
17067,17708,708
17069,3821,56
17071,6646,372
17073,48913,3696
17075,27114,5500
17077,56750,11596
17079,9610,2581
17081,37684,5381
17083,21773,1152
17085,21235,1434
17087,12417,426
17089,532403,249314
17091,109862,41271
17093,128990,33410
17095,49699,4410
17097,696535,381599
17099,108669,6827
17101,15678,226
17103,34096,3666
17105,35648,1832
17107,28618,537
17109,29682,3417
17111,307774,70777
17113,171517,10657
17115,104009,9496
17117,44926,2401
17119,262966,29098
17121,37205,2689
17123,11438,295
17125,13359,882
17127,13772,366
17129,12196,929
17131,15437,780
17133,34637,5457
17135,28414,2080
17137,33658,2313
17139,14501,495
17141,50643,9758
17143,179179,10869
17145,20916,1897
17147,16344,591
17149,15561,77
17151,4177,39
17153,5335,2157
17155,5739,31
17157,31782,12927
17159,15513,195
17161,141879,32866
17163,259686,51885
17165,23491,355
17167,194672,16430
17169,6768,437
17171,4951,0
17173,21634,767
17175,5342,123
17177,44498,7776
17179,131803,3782
17181,16653,5701
17183,75758,1803
17185,11520,217
17187,16844,5499
17189,13887,935
17191,16215,354
17193,13537,109
17195,55175,7021
17197,690743,264000
17199,66597,3097
17201,282572,85663
17203,38459,1117
0,0,0
18001,35777,817
18003,379299,67723
18005,83779,24112
18007,8748,1182
18009,11758,1057
18011,67843,16637
18013,15092,1738
18015,20257,3970
18017,37689,77205
18019,118302,25445
18021,26225,2166
18023,32399,8495
18025,10577,1387
18027,33351,4330
18029,49458,9232
18031,26559,14642
18033,43475,2173
18035,114135,17254
18037,42736,7065
18039,206341,51469
18041,23102,3293
18043,78522,16735
18045,16346,1001
18047,22758,7442
18049,19974,2247
18051,33659,789
18053,65769,10603
18055,31922,8048
18057,338011,65043
18059,78168,18138
18061,40515,10376
18063,170311,61401
18065,47972,7053
18067,82544,17850
18069,36520,1393
18071,44231,17560
18073,33562,3217
18075,20436,2013
18077,32308,2332
18079,27735,7116
18081,158167,56835
18083,36594,1614
18085,79456,6015
18087,39614,4520
18089,485493,174358
18091,109888,20404
18093,45370,8648
18095,129569,33340
18097,964582,508431
18099,46258,5374
18101,10255,583
18103,35516,7178
18105,148431,10045
18107,38338,9766
18109,70489,14554
18111,13984,4099
18113,47744,9938
18115,5875,575
18117,19646,6456
18119,20799,2036
18121,16937,983
18123,19169,1514
18125,12389,234
18127,170389,24765
18129,25427,932
18131,12353,1989
18133,37576,6724
18135,24665,2064
18137,28324,7243
18139,16581,2547
18141,271826,60503
18143,23873,5403
18145,44729,17819
18147,20277,752
18149,22995,1752
18151,34594,3833
18153,20669,1595
18155,10751,1184
18157,195732,17240
18159,15148,1426
18161,7054,554
18163,181451,13262
18165,15498,531
18167,107038,7565
18169,30996,3688
18171,8265,733
18173,62998,8324
18175,28036,3147
18177,65884,3828
18179,28296,1264
18181,24102,9166
18183,33964,2032
0,0,861
19001,7152,337
19003,3602,168
19005,13687,6401
19007,12426,531
19009,5496,527
19011,25645,2380
19013,131228,83507
19015,26234,2633
19017,25062,3561
19019,21175,1577
19021,19620,23807
19023,14439,736
19025,9668,231
19027,20165,575
19029,12836,345
19031,18627,2715
19033,42450,1498
19035,11235,1028
19037,11933,492
19039,9395,1767
19041,16016,944
19043,17549,1540
19045,46429,3762
19047,16820,18214
19049,93453,39869
19051,9000,822
19053,7870,43
19055,17011,716
19057,38967,2480
19059,17258,1354
19061,97311,14614
19063,9208,564
19065,19650,1403
19067,15642,588
19069,10070,690
19071,6960,137
19073,8888,649
19075,12232,941
19077,10689,2064
19079,14773,1823
19081,10630,649
19083,16846,929
19085,14049,1426
19087,19954,3262
19089,9158,633
19091,9558,652
19093,6860,400
19095,16184,1681
19097,19439,577
19099,37185,12629
19101,18295,1072
19103,151140,35389
19105,20681,1952
19107,10246,578
19109,14813,400
19111,33657,1145
19113,226706,52068
19115,11035,18990
19117,8600,419
19119,11755,1061
19121,16338,1034
19123,22095,2978
19125,33253,1299
19127,39369,41909
19129,15109,676
19131,10586,246
19133,8615,1149
19135,7707,1206
19137,9917,299
19139,42664,28712
19141,13753,1455
19143,5958,1446
19145,15107,651
19147,8886,193
19149,25177,5053
19151,6619,466
19153,490161,169802
19155,93206,10586
19157,18504,4495
19159,4894,124
19161,9721,666
19163,172943,19173
19165,11454,1520
19167,34855,8849
19169,97117,5118
19171,16854,21244
19173,6121,1442
19175,12241,258
19177,7044,615
19179,34969,20175
19181,51466,5244
19183,21965,11138
19185,6441,68
19187,35904,1736
19189,10354,419
19191,19991,1206
19193,103107,110820
19195,7381,141
19197,12562,5155
0,0,7
20001,12369,0
20003,7858,38
20005,16073,955
20007,4427,70
20009,25779,1650
20011,14534,505
20013,9564,217
20015,66911,1634
20017,2648,142
20019,3250,273
20021,19939,629
20023,2657,95
20025,1994,1120
20027,8002,291
20029,8786,280
20031,8179,3526
20033,1700,43
20035,34908,500
20037,38818,551
20039,2827,0
20041,18466,173
20043,7600,610
20045,122259,4311
20047,2798,230
20049,2530,0
20051,28553,571
20053,6102,88
20055,36467,58187
20057,33619,72028
20059,25544,1839
20061,31670,1005
20063,2636,81
20065,2482,0
20067,7150,657
20069,5988,761
20071,1232,0
20073,5982,294
20075,2539,720
20077,5436,67
20079,34429,680
20081,3968,845
20083,1794,95
20085,13171,2695
20087,19043,1019
20089,2879,264
20091,602401,45182
20093,3838,1832
20095,7152,0
20097,2475,111
20099,19618,1500
20101,1535,78
20103,81758,48377
20105,2962,0
20107,9703,548
20109,2794,0
20111,33195,19089
20113,28542,1744
20115,11884,421
20117,9707,0
20119,4033,1108
20121,34237,400
20123,5979,236
20125,31829,1235
20127,5620,273
20129,2587,251
20131,10231,442
20133,16007,173
20135,2750,70
20137,5361,96
20139,15949,451
20141,3421,147
20143,5704,274
20145,6414,30
20147,5234,98
20149,24383,1305
20151,9164,94
20153,2530,0
20155,61998,2791
20157,4636,278
20159,9537,192
20161,74232,3636
20163,4920,398
20165,3036,0
20167,6856,0
20169,54224,1634
20171,4823,469
20173,516042,32239
20175,21428,39324
20177,176875,14235
20179,2521,109
20181,5917,305
20183,3583,123
20185,4156,79
20187,2006,425
20189,5485,1190
20191,22836,369
20193,7777,0
20195,2803,25
20197,6931,1453
20199,1518,0
20201,5406,6
20203,2119,0
20205,8525,60
20207,3138,404
20209,165429,69660
0,0,2914
21001,19202,5536
21003,21315,2983
21005,22747,900
21007,7888,560
21009,44249,2060
21011,12500,413
21013,26032,51
21015,133581,19013
21017,19788,669
21019,46718,2414
21021,30060,1303
21023,8303,679
21025,12630,166
21027,20477,878
21029,81676,5468
21031,12879,11274
21033,12747,776
21035,39001,2687
21037,93584,8530
21039,4760,195
21041,10631,434
21043,26797,560
21045,16159,182
21047,70461,6880
21049,36263,2238
21051,19901,258
21053,10218,216
21055,8806,311
21057,6614,306
21059,101511,16911
21061,12150,2591
21063,7517,28
21065,14106,29
21067,323152,35370
21069,14581,105
21071,35589,825
21073,50991,2116
21075,5969,233
21077,8869,953
21079,17666,227
21081,25069,2132
21083,37266,8517
21085,26427,5800
21087,10941,85
21089,35098,801
21091,8722,409
21093,110958,4850
21095,26010,128
21097,18886,1650
21099,19035,857
21101,45210,5337
21103,16126,825
21105,4380,227
21107,44686,13069
21109,13329,3597
21111,766757,124844
21113,54115,3426
21115,22188,255
21117,166998,27851
21119,14806,234
21121,31145,457
21123,14398,451
21125,60813,1256
21127,15317,140
21129,7403,19
21131,9877,301
21133,21553,165
21135,13275,372
21137,24549,444
21139,9194,371
21141,27102,5215
21143,8210,976
21145,65418,4841
21147,17231,817
21149,9207,1104
21151,92987,2837
21153,12161,63
21155,19273,1354
21157,31100,2067
21159,11195,201
21161,17070,554
21163,28572,1025
21165,6489,320
21167,21933,793
21169,10071,200
21171,10650,724
21173,28157,1181
21175,13309,108
21177,30622,21821
21179,46233,2042
21181,7269,130
21183,23994,5809
21185,66799,3738
21187,10901,90
21189,4415,130
21191,14590,493
21193,25758,952
21195,57876,1391
21197,12359,97
21199,64979,3394
21201,2108,0
21203,16695,791
21205,24460,338
21207,17923,1367
21209,57004,2107
21211,49024,6240
21213,18572,2557
21215,19351,1097
21217,25769,630
21219,12294,980
21221,14651,570
21223,8471,205
21225,14381,716
21227,132896,42550
21229,12095,391
21231,20333,533
21233,12942,1741
21235,36264,762
21237,7157,28
21239,26734,1633
0,0,6495
22001,62045,17981
22003,25627,9000
22005,126604,50229
22007,21891,14605
22009,40144,7148
22011,37497,4083
22013,13241,6832
22015,127039,24114
22017,240204,136066
22019,203436,34464
22021,9918,2914
22023,6973,292
22025,9494,5222
22027,15670,4151
22029,19259,3857
22031,27463,14914
22033,440059,187425
22035,6861,4600
22037,19135,10458
22039,33395,4489
22041,20015,15236
22043,22389,1643
22045,69830,21831
22047,32511,32966
22049,15744,4667
22051,432493,487339
22053,31368,4930
22055,244390,43255
22057,97614,50866
22059,14892,2514
22061,46742,7884
22063,140789,21295
22065,10951,4117
22067,24874,5696
22069,38158,7688
22071,390144,495641
22073,153279,64999
22075,23197,13580
22077,21730,9657
22079,129648,35268
22081,8442,2434
22083,20122,6379
22085,23884,1994
22087,47244,35384
22089,53100,41549
22091,10132,2539
22093,21096,19423
22095,42837,55921
22097,82124,15226
22099,53431,17680
22101,49348,17082
22103,260419,103015
22105,134758,47570
22107,4334,499
22109,110461,37221
22111,22108,14343
22113,59511,3168
22115,47429,1594
22117,46194,23358
22119,38340,8495
22121,26465,9339
22123,10830,2008
22125,15568,10794
22127,13904,5958
0,0,289
23001,108277,11186
23003,67055,438
23005,295003,56525
23007,30199,1938
23009,54987,667
23011,122302,7696
23013,39772,1261
23015,34634,1208
23017,57975,1535
23019,152148,5628
23021,16785,58
23023,35856,1713
23025,50484,1271
23027,39715,3239
23029,31379,74
23031,207641,20337
0,0,12
24001,70416,8790
24003,579234,177867
24005,827370,288936
24009,92525,15781
24011,33406,10559
24013,168447,43392
24015,102855,18010
24017,163257,53782
24019,31929,6244
24021,259547,90277
24023,29014,501
24025,255441,40738
24027,325690,89940
24029,19422,7627
24031,1050688,508501
24033,909327,678211
24035,50381,6855
24037,113510,20429
24039,25616,3157
24041,37181,4196
24043,151049,21423
24045,103609,41384
24047,52276,8758
24510,593490,247150
0,0,33393
25001,212990,75018
25003,124944,35569
25005,565217,340156
25007,17332,1734
25009,789034,736051
25011,70180,19592
25013,466372,314503
25015,160830,44616
25017,1611699,1146423
25019,11399,860
25021,706775,457593
25023,521202,415372
25025,803907,995479
25027,830622,530923
0,0,174728
26001,10405,555
26003,9108,6
26005,118081,10288
26007,28405,4979
26009,23324,756
26011,14883,1742
26013,8209,46
26015,61550,3393
26017,103126,14747
26019,17766,243
26021,153401,30350
26023,43517,6075
26025,134159,19530
26027,51787,3791
26029,26143,1052
26031,25276,1344
26033,37349,126
26035,30950,967
26037,79595,9467
26039,14029,3363
26041,35784,1049
26043,25239,308
26045,110268,11089
26047,33415,1582
26049,405813,125025
26051,25449,1027
26053,13975,330
26055,93088,1698
26057,40711,2939
26059,45605,9926
26061,35684,240
26063,30981,2222
26065,292406,40260
26067,64697,6970
26069,25127,4077
26071,11066,26
26073,69872,4596
26075,158510,26250
26077,265066,39302
26079,18038,1394
26081,656955,163317
26083,2116,6
26085,11853,238
26087,87607,12156
26089,21761,659
26091,98451,8606
26093,191995,26515
26095,6229,131
26097,10799,429
26099,873972,411510
26101,24558,792
26103,66699,3290
26105,29144,1376
26107,43453,1214
26109,22780,386
26111,83156,5215
26113,15118,983
26115,150500,26987
26117,63888,3549
26119,9328,299
26121,173566,28671
26123,48980,3785
26125,1257584,567909
26127,26467,3192
26129,20997,1141
26131,5720,0
26133,23460,710
26135,8241,368
26137,24668,6409
26139,291830,32496
26141,12592,630
26143,24019,1246
26145,190539,54569
26147,159128,26024
26149,60964,5379
26151,41170,2591
26153,8094,239
26155,68122,13023
26157,52245,9492
26159,75677,6659
26161,367601,85138
26163,1749343,1279673
26165,33631,750
0,0,2209
27001,15886,305
27003,356921,51562
27005,34423,1545
27007,47188,747
27009,40889,6498
27011,4991,289
27013,67653,5694
