FIPS,Geog_Level,State_name,County_name,Lat_State,Lon_State,LAND_AREA,Med_HHD_Inc_ACS_14_18($),Aggregate_HH_INC_ACS_14_18($),Tot_Pop_CEN_2010,Tot_Pop_ACS_14_18,Pop_65plus_ACS_14_18,NH_Blk_alone_ACS_14_18,Pov_Univ_ACS_14_18,Prs_Blw_Pov_Lev_ACS_14_18,One_Health_Ins_ACS_14_18,No_Health_Ins_ACS_14_18,pct_Pov_Univ_ACS_14_18,pct_Prs_Blw_Pov_Lev_ACS_14_18,pct_One_Health_Ins_ACS_14_18,pct_No_Health_Ins_ACS_14_18,pct_NoHealthIns_65P_ACS_14_18,pct_Pop_NoCompDevic_ACS_14_18,pct_Pop_w_BroadComp_ACS_14_18,pct_HHD_NoCompDevic_ACS_14_18,pct_HHD_No_Internet_ACS_14_18,pct_HHD_w_Broadband_ACS_14_18,State,County,Latitude,Longitude
6027,County,California,Inyo County,,,10180.879,"$52,874 ","$553,268,000 ",18546,18085,4148,160,17606,1792,12333,1125,97.35,10.18,68.19,6.22,0,6.63,82.45,10.23,16.79,62.85,CA,Inyo,36.561977,-117.4039
6029,County,California,Kern County,,,8131.907,"$52,479 ","$19,139,774,900 ",839631,883053,92005,45053,851826,187232,671159,77216,96.46,21.98,76,8.74,1.15,11.66,79.62,14.63,19.34,60.42,CA,Kern,35.346629,-118.7295
6031,County,California,Kings County,,,1389.419,"$53,865 ","$2,990,828,600 ",152982,150075,14567,8784,134853,28084,101565,10946,89.86,20.83,67.68,7.29,0.92,9.57,79.53,12.11,19.02,63.73,CA,Kings,36.072478,-119.8155
6033,County,California,Lake County,,,1256.463,"$42,475 ","$1,579,959,700 ",64665,64148,13941,1426,63040,13224,40985,6005,98.27,20.98,63.89,9.36,0.35,10.92,77.8,16.3,24.13,51.22,CA,Lake,39.094802,-122.7468
6035,County,California,Lassen County,,,4541.184,"$56,362 ","$674,920,000 ",34895,31185,4157,2695,21230,2933,15605,1216,68.08,13.82,50.04,3.9,0.1,10.9,81.31,15.83,19.83,60.07,CA,Lassen,40.721089,-120.6299
6037,County,California,Los Angeles County,,,4057.884,"$64,251 ","$312,374,919,800 ",9818605,10098052,1299277,795505,9947799,1589956,7739958,1086657,98.51,15.98,76.65,10.76,1.58,6.65,84.7,9.56,14.39,70.54,CA,Los Angeles,34.196398,-118.2619
6039,County,California,Madera County,,,2137.068,"$52,884 ","$3,115,854,300 ",150865,155013,20797,4835,146576,30549,108360,13784,94.56,20.84,69.9,8.89,1,8.99,79.77,12.68,19.78,56.95,CA,Madera,37.210039,-119.7499
6041,County,California,Marin County,,,520.302,"$110,217 ","$17,728,502,800 ",252409,260295,54625,5597,254105,19341,197058,10252,97.62,7.61,75.71,3.94,0.2,3.63,92.92,5.84,6.88,82.68,CA,Marin,38.051817,-122.746
6043,County,California,Mariposa County,,,1448.819,"$51,199 ","$497,343,400 ",18251,17540,4690,166,17342,2435,11939,844,98.87,14.04,68.07,4.81,0.26,9.15,79.91,12.86,18.14,62.18,CA,Mariposa,37.570034,-119.9129
6045,County,California,Mendocino County,,,3506.343,"$49,233 ","$2,295,616,100 ",87841,87422,17845,511,85862,15877,61232,8065,98.22,18.49,70.04,9.23,0.48,10.06,81.47,14.14,18.17,52.95,CA,Mendocino,39.432388,-123.4429
6047,County,California,Merced County,,,1934.972,"$50,129 ","$5,553,628,800 ",255793,269075,29320,8038,262972,59660,205955,23145,97.73,22.69,76.54,8.6,2.08,6.97,83.22,10.84,16.98,57.43,CA,Merced,37.194806,-120.7228
6049,County,California,Modoc County,,,3917.769,"$45,149 ","$198,101,100 ",9686,8938,2293,149,8656,1435,5731,1068,96.84,16.58,64.12,11.95,1.41,18.83,73.86,24.07,27.92,52.84,CA,Modoc,41.592919,-120.7184
6051,County,California,Mono County,,,3048.982,"$63,018 ","$387,800,500 ",14202,14174,2030,40,14046,1454,9611,2335,99.1,10.35,67.81,16.47,4.38,6.11,82.99,8.64,12.92,59.5,CA,Mono,37.915836,-118.8752
6053,County,California,Monterey County,,,3280.601,"$66,676 ","$11,802,989,400 ",415057,433212,55515,10606,416002,58699,313788,46650,96.03,14.11,72.43,10.77,1.24,11.2,81.67,12.38,16.37,61.97,CA,Monterey,36.240107,-121.3156
6055,County,California,Napa County,,,748.362,"$84,753 ","$5,732,932,400 ",136484,140530,25360,2764,137164,11168,103997,9015,97.6,8.14,74,6.42,0.48,4.44,90.14,7.37,10.05,74.31,CA,Napa,38.507351,-122.326
6057,County,California,Nevada County,,,957.773,"$63,240 ","$3,550,377,100 ",98764,99092,25177,601,98014,11169,67721,7605,98.91,11.4,68.34,7.67,0.38,4.92,88.25,8.5,12.15,67.23,CA,Nevada,39.295191,-120.7734
